INFO 2024-11-18 15:49:57,594 autoreload Watching for file changes with StatReloader
INFO 2024-11-18 15:50:12,485 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 17849
INFO 2024-11-18 15:50:16,351 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 17849
INFO 2024-11-18 15:50:28,210 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2024-11-18 15:50:28,232 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 17690
INFO 2024-11-18 15:50:38,661 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2024-11-18 15:50:38,696 basehttp "GET /admin/ HTTP/1.1" 200 21127
INFO 2024-11-18 15:51:09,095 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 25250
INFO 2024-11-18 15:51:09,127 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6811
INFO 2024-11-18 15:51:09,136 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-18 15:51:09,137 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2024-11-18 15:51:09,144 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2024-11-18 15:51:09,157 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2024-11-18 15:51:09,221 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2024-11-18 15:51:09,222 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2024-11-18 15:51:15,632 basehttp "GET /admin/auth/user/1/change/ HTTP/1.1" 200 35093
INFO 2024-11-18 15:51:15,683 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 9090
INFO 2024-11-18 15:51:15,696 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-18 15:51:15,696 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2024-11-18 15:51:15,699 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2024-11-18 15:51:15,707 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2024-11-18 15:51:15,711 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15492
INFO 2024-11-18 15:51:15,724 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2024-11-18 15:51:15,726 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2024-11-18 15:51:15,737 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11800
INFO 2024-11-18 15:51:15,805 basehttp "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2024-11-18 15:51:15,809 basehttp "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2024-11-18 15:51:15,815 basehttp "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2024-11-18 15:51:15,819 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2024-11-18 15:51:15,820 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2024-11-18 15:51:50,535 basehttp "GET /admin/auth/user/1/password/ HTTP/1.1" 200 21272
INFO 2024-11-18 15:51:59,979 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 21305
INFO 2024-11-18 15:52:00,037 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-18 15:52:00,884 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 25250
INFO 2024-11-18 15:52:00,902 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-18 15:52:57,131 basehttp "GET /admin/auth/user/2/change/ HTTP/1.1" 200 35051
INFO 2024-11-18 15:52:57,198 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-18 15:53:27,287 basehttp "POST /admin/auth/user/2/change/ HTTP/1.1" 302 0
INFO 2024-11-18 15:53:27,336 basehttp "GET /admin/auth/user/2/change/ HTTP/1.1" 200 35308
INFO 2024-11-18 15:53:27,398 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-18 15:53:35,292 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 21305
INFO 2024-11-18 15:53:35,310 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-18 15:53:40,397 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 25268
INFO 2024-11-18 15:53:40,413 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-18 15:53:41,328 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 21305
INFO 2024-11-18 15:53:41,349 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-18 15:53:44,647 basehttp "POST /admin/logout/ HTTP/1.1" 200 17084
INFO 2024-11-18 15:53:46,924 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2024-11-18 15:53:46,952 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 17690
INFO 2024-11-18 15:53:58,201 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2024-11-18 15:53:58,223 basehttp "GET /admin/ HTTP/1.1" 200 21468
INFO 2024-11-18 15:54:12,450 basehttp "GET /polls/ HTTP/1.1" 200 141
INFO 2024-11-18 15:54:15,134 basehttp "GET /polls/1/ HTTP/1.1" 200 715
INFO 2024-11-18 15:54:17,715 basehttp "POST /polls/1/vote/ HTTP/1.1" 200 771
INFO 2024-11-18 15:54:20,620 basehttp "POST /polls/1/vote/ HTTP/1.1" 302 0
INFO 2024-11-18 15:54:20,646 basehttp "GET /polls/1/results/ HTTP/1.1" 200 201
INFO 2024-11-18 15:54:22,372 basehttp "GET /polls/1/results/ HTTP/1.1" 200 201
INFO 2024-11-18 15:54:23,447 basehttp "GET /polls/1/ HTTP/1.1" 200 715
